Date;Nom de la dépense;Catégorie;Dpense Carte Bleue;Obtenu Carte Bleue;Dplac Carte Bleu --> Livret A;Dplac Livret A --> Carte Bleu;Obtenu livret A;Obtenu Mozaque;A revoir
27/02/2022;Ouverture;Debut;;;;;;1662.17 ;
27/02/2022;;Debut;;;;;2645.64;;
27/02/2022;;Kdo;;;;;50.00 ;;
27/02/2022;;Kdo;;;;;200.00 ;;
02/04/2022;;Chque;;;;;120.00 ;;
30/07/2022;;Déplacer;;;7000.00 ;;;;
30/07/2022;;Kdo;;;;;70.00 ;;
01/11/2022;;Déplacer;;;5000.00 ;;;;
30/12/2022;;Taux;;;;;96.54 ;;
30/12/2022;;Taux;;;;;14.61 ;;
30/12/2022;;Taux;;;;;1.10 ;;
30/12/2022;;Taux;;;;;;0.69 ;
30/12/2022;;Taux;;;;;;8.31 ;
30/12/2022;;Taux;;;;;;5.54 ;
30/12/2022;;Taux;;;;;;9.14 ;
19/01/2023;;Déplacer;;;-12000.00 ;;;;
04/02/2023;;Ouverture;;150.00 ;;;;;
17/02/2023;;Déplacer;;;500.00 ;;;;
17/02/2023;;Kdo;;300.00 ;;;;;
17/02/2023;;Kdo;;250.00 ;;;;;
18/02/2023;;Kdo;;;;;40.00 ;;
01/03/2023;;Ass perte/vol;1.00 ;;;;;;
11/03/2023;;Retrait;10.00 ;;;;;;
16/03/2023;;Ass Globe Trotter;2.00 ;;;;;;
01/04/2023;;Ass perte/vol;1.00 ;;;;;;
03/04/2023;;Restauration;9.70 ;;;;;;
16/04/2023;;Ass Globe Trotter;2.00 ;;;;;;
01/05/2023;;Ass perte/vol;1.00 ;;;;;;
06/05/2023;;Restauration;31.30 ;;;;;;
16/05/2023;;Ass Globe Trotter;2.00 ;;;;;;
25/05/2023;;Essence;59.16 ;;;;;;
30/05/2023;;Remboursement;;120.00 ;;;;;
01/06/2023;;Ass perte/vol;1.00 ;;;;;;
02/06/2023;;Kdo;6.95 ;;;;;;
09/06/2023;;Restauration;13.50 ;;;;;;
12/06/2023;;Restauration;6.00 ;;;;;;
16/06/2023;;Ass Globe Trotter;2.00 ;;;;;;
22/06/2023;;Restauration;4.70 ;;;;;;
23/06/2023;;Intersport (Tente);84.97 ;;;;;;
01/07/2023;;Ass perte/vol;1.00 ;;;;;;
05/07/2023;;Remboursement;;120.00 ;;;;;
10/07/2023;;CROUS;106.00 ;;;;;;
10/07/2023;;Remboursement;;110.00 ;;;;;
16/07/2023;;Ass Globe Trotter;2.00 ;;;;;;
18/07/2023;;Kdo;;;;;150.00 ;;
30/07/2023;;Kdo;;;;;150.00 ;;
31/07/2023;;Bricolage;11.00 ;;;;;;
01/08/2023;;Ass perte/vol;1.00 ;;;;;;
02/08/2023;;Mamie Remboursement;;50.00 ;;;;;
15/08/2023;;vacance été;16.70 ;;;;;;
16/08/2023;;Ass Globe Trotter;2.00 ;;;;;;
18/08/2023;;Restauration;1.30 ;;;;;;
20/08/2023;;Page;8.70 ;;;;;;
21/08/2023;;Restauration;7.80 ;;;;;;
21/08/2023;;Essence;67.23 ;;;;;;
21/08/2023;;Page;5.60 ;;;;;;
22/08/2023;;Retrait test sans contact;38.00 ;;;;;;
22/08/2023;;Remboursement;;200.00 ;;;;;
30/08/2023;;Déplacer;;;145.40 ;;;;
30/08/2023;;CROUS;;145.40 ;;;;;
01/09/2023;;Ass perte/vol;1.00 ;;;;;;
02/09/2023;;Retrait;20.00 ;;;;;;
02/09/2023;;Restauration;4.81 ;;;;;;
02/09/2023;;Pharmacie;10.25 ;;;;;;
04/09/2023;;Restauration;3.30 ;;;;;;
08/09/2023;;Restauration;2.99 ;;;;;;
08/09/2023;;Restauration;8.20 ;;;;;;
09/09/2023;;Restauration;10.23 ;;;;;;
09/09/2023;;Restauration;16.17 ;;;;;;
10/09/2023;;IZLY;10.00 ;;;;;;
14/09/2023;;Restauration;3.50 ;;;;;;
14/09/2023;;Restauration;10.59 ;;;;;;
16/09/2023;;Ass Globe Trotter;2.00 ;;;;;;
17/09/2023;;Page;3.70 ;;;;;;
28/09/2023;;Remboursement;;120.00 ;;;;;
30/09/2023;;Essence;71.27 ;;;;;;
01/10/2023;;Restauration;7.58 ;;;;;;
02/10/2023;;Ass perte/vol;1.00 ;;;;;;
03/10/2023;;CROUS;;145.40 ;;;;;
04/10/2023;;Déplacer;;;120.00 ;;;;
04/10/2023;;Restauration;7.50 ;;;;;;
04/10/2023;;Transport;16.70 ;;;;;;
06/10/2023;;Restauration;4.50 ;;;;;;
06/10/2023;;Restauration;19.50 ;;;;;;
06/10/2023;;IZLY;10.00 ;;;;;;
08/10/2023;;Restauration;10.93 ;;;;;;
10/10/2023;;Virement;;;;50.00 ;;;
13/10/2023;;Restauration;2.90 ;;;;;;
16/10/2023;;Ass Globe Trotter;2.00 ;;;;;;
16/10/2023;;Restauration;1.15 ;;;;;;
21/10/2023;;Restauration;3.00 ;;;;;;
23/10/2023;;Déplacer;;;150.00 ;;;;
23/10/2023;;Remboursement;;200.00 ;;;;;
23/10/2023;;Coiffeur;17.50 ;;;;;;
23/10/2023;;IZLY;10.00 ;;;;;;
26/10/2023;;Medecin;23.04 ;;;;;;
28/10/2023;;Restauration;60.02 ;;;;;;
02/11/2023;;Ass perte/vol;1.00 ;;;;;;
02/11/2023;;Restauration;9.90 ;;;;;;
02/11/2023;;Restauration;13.56 ;;;;;;
02/11/2023;;Restauration;5.00 ;;;;;;
03/11/2023;;CROUS;;145.40 ;;;;;
04/11/2023;;Déplacer;;;100.00 ;;;;
05/11/2023;;Transport;16.70 ;;;;;;
08/11/2023;;Remboursement;;100.00 ;;;;;
09/11/2023;;Restauration;12.95 ;;;;;;
13/11/2023;;Kdo;14.18 ;;;;;;
14/11/2023;;Restauration;1.99 ;;;;;;
14/11/2023;;Vinted;6.11 ;;;;;;
14/11/2023;;Remboursement;;6.07 ;;;;;
15/11/2023;;IZLY;10.00 ;;;;;;
16/11/2023;;Ass Globe Trotter;2.00 ;;;;;;
18/11/2023;;Restauration;24.40 ;;;;;;
19/11/2023;;Essence;60.05 ;;;;;;
22/11/2023;;Déplacer;;;;100.00 ;;;
23/11/2023;;Vinted;7.91 ;;;;;;
24/11/2023;;Restauration;5.00 ;;;;;;
27/11/2023;;Restauration;4.10 ;;;;;;
27/11/2023;;Restauration;1.30 ;;;;;;
27/11/2023;;IZLY;10.00 ;;;;;;
30/11/2023;;Kdo;18.00 ;;;;;;
30/11/2023;;Restauration;15.39 ;;;;;;
01/12/2023;;Ass perte/vol;1.00 ;;;;;;
03/12/2023;;CAF;;233.00 ;;;;;
04/12/2023;;Virement;;;100.00 ;;;;
05/12/2023;;CROUS;;145.40 ;;;;;
05/12/2023;;Transport;16.70 ;;;;;;
06/12/2023;;Virement;;;150.00 ;;;;
07/12/2023;;Restauration;6.00 ;;;;;;
08/12/2023;;Restauration;7.50 ;;;;;;
11/12/2023;;Restauration;21.26 ;;;;;;
12/12/2023;;IZLY;10.00 ;;;;;;
13/12/2023;;Vinted;6.07 ;;;;;;
16/12/2023;;Ass Globe Trotter;2.00 ;;;;;;
16/12/2023;;Restauration;10.00 ;;;;;;
16/12/2023;;Kdo;12.00 ;;;;;;
16/12/2023;;Restauration;0.84 ;;;;;;
16/12/2023;;Restauration;3.49 ;;;;;;
16/12/2023;;Retrait;20.00 ;;;;;;
19/12/2023;;Réparation;11.00 ;;;;;;
21/12/2023;;Coiffeur;16.00 ;;;;;;
21/12/2023;;Photo;4.00 ;;;;;;
26/12/2023;;Vinted;;6.11 ;;;;;
28/12/2023;;CAF;;233.00 ;;;;;
28/12/2023;;Restauration;8.64 ;;;;;;
28/12/2023;;Bricolage;12.15 ;;;;;;
29/12/2023;;vacance été;5.00 ;;;;;;
29/12/2023;;vacance été;7.00 ;;;;;;
29/12/2023;;Taux;;;;;108.08 ;;
29/12/2023;;Taux;;;;;15.32 ;;
29/12/2023;;Taux;;;;;;3.09 ;
29/12/2023;;Taux;;;;;;4.49 ;
29/12/2023;;Taux;;;;;;34.41 ;
29/12/2023;;Taux;;;;;;16.85 ;
30/12/2023;;vacance été;33.70 ;;;;;;
30/12/2023;;Restauration;3.80 ;;;;;;
02/01/2024;;Ass perte/vol;1.00 ;;;;;;
02/01/2024;;Restauration;10.78 ;;;;;;
02/01/2024;;Restauration;14.19 ;;;;;;
05/01/2024;;Restauration;9.81 ;;;;;;
06/01/2024;;Cinma;6.90 ;;;;;;
06/01/2024;;Kdo;;;;;100.00 ;;
07/01/2024;;IZLY;10.00 ;;;;;;
07/01/2024;;Transport;16.70 ;;;;;;
08/01/2024;;Virement;;;150.00 ;;;;
08/01/2024;;CROUS;;145.40 ;;;;;
11/01/2024;;Pharmacie;10.99 ;;;;;;
16/01/2024;;Ass Globe Trotter;2.00 ;;;;;;
17/01/2024;;Restauration;4.99 ;;;;;;
21/01/2024;;Kdo;;200.00 ;;;;;
21/01/2024;;Kdo;;40.00 ;;;;;
24/01/2024;;IZLY;10.00 ;;;;;;
27/01/2024;;Vetement;27.99 ;;;;;;
30/01/2024;;Remboursement;;27.99 ;;;;;
31/01/2024;;CROUS;;145.40 ;;;;;
01/02/2024;;Ass perte/vol;1.00 ;;;;;;
01/02/2024;;Restauration;6.99 ;;;;;;
02/02/2024;;Virement;;;375.00 ;;;;
02/02/2024;;Kdo;49.99 ;;;;;;
03/02/2024;;Restauration;8.00 ;;;;;;
04/02/2024;;Restauration;2.80 ;;;;;;
05/02/2024;;Essence;68.87 ;;;;;;
06/02/2024;;APL;;233.00 ;;;;;
06/02/2024;;Restauration;28.20 ;;;;;;
07/02/2024;;Transport;18.70 ;;;;;;
09/02/2024;;Restauration;13.56 ;;;;;;
09/02/2024;;Restauration;6.90 ;;;;;;
13/02/2024;;IZLY;10.00 ;;;;;;
13/02/2024;;Restauration;16.83 ;;;;;;
15/02/2024;;Kdo;;90.00 ;;;;;
15/02/2024;;Restauration;3.30 ;;;;;;
15/02/2024;;Coiffeur;16.00 ;;;;;;
16/02/2024;;Ass Globe Trotter;2.00 ;;;;;;
19/02/2024;;Restauration;1.15 ;;;;;;
20/02/2024;;Restauration;5.56 ;;;;;;
21/02/2024;;IZLY;10.00 ;;;;;;
22/02/2024;;Kdo;11.80 ;;;;;;
28/02/2024;;Restauration;17.43 ;;;;;;
29/02/2024;;Restauration;9.60 ;;;;;;
29/02/2024;;Restauration;7.40 ;;;;;;
01/03/2024;;CROUS;;145.40 ;;;;;
01/03/2024;;Ass perte/vol;1.00 ;;;;;;
01/03/2024;;Restauration;3.70 ;;;;;;
03/03/2024;;Erreur mauvais déplacement;;;600.00 ;;;;
03/03/2024;;APL;;233.00 ;;;;;
03/03/2024;;Erreur mauvais déplacement;;;;300.00 ;;;
03/03/2024;;Restauration;7.40 ;;;;;;
03/03/2024;;Restauration;28.00 ;;;;;;
04/03/2024;;IZLY;10.00 ;;;;;;
04/03/2024;;Restauration;3.94 ;;;;;;
11/03/2024;;Pharmacie;9.90 ;;;;;;
11/03/2024;;Transport;18.70 ;;;;;;
15/03/2024;;Essence;67.00 ;;;;;;
16/03/2024;;Ass Globe Trotter;2.00 ;;;;;;
17/03/2024;;Vinted;8.08 ;;;;;;
18/03/2024;;IZLY;10.00 ;;;;;;
23/03/2024;;Kdo;9.98 ;;;;;;
25/03/2024;;Pharmacie;3.95 ;;;;;;
27/03/2024;;APL;;233.00 ;;;;;
27/03/2024;;Pharmacie;2.40 ;;;;;;
27/03/2024;;Restauration;1.15 ;;;;;;
28/03/2024;;Remboursement;;9.98 ;;;;;
29/03/2024;;Restauration;23.51 ;;;;;;
01/04/2024;;Restauration;4.83 ;;;;;;
02/04/2024;;Ass perte/vol;1.00 ;;;;;;
02/04/2024;;IZLY;10.00 ;;;;;;
03/04/2024;;Virement;;;300.00 ;;;;
03/04/2024;;CROUS;;145.40 ;;;;;
14/04/2024;;IZLY;10.00 ;;;;;;
15/04/2024;;Autre Achat;2.00 ;;;;;;
16/04/2024;;Ass Globe Trotter;2.00 ;;;;;;
23/04/2024;;CROUS;;145.40 ;;;;;
23/04/2024;;Coiffeur;16.00 ;;;;;;
23/04/2024;;Restauration;16.38 ;;;;;;
24/04/2024;;Virement;;;145.40 ;;;;
24/04/2024;;Restauration;1.10 ;;;;;;
25/04/2024;;Restauration;2.00 ;;;;;;
26/04/2024;;Autre Achat;8.75 ;;;;;;
26/04/2024;;Restauration;10.30 ;;;;;;
27/04/2024;;Virement;;;;50.00 ;;;
27/04/2024;;Restauration;7.70 ;;;;;;
27/04/2024;;Piscine;9.60 ;;;;;;
27/04/2024;;Autre Achat;4.00 ;;;;;;
27/04/2024;;Restauration;14.88 ;;;;;;
29/04/2024;;Restauration;1.15 ;;;;;;
01/05/2024;;APL;;233.00 ;;;;;
02/05/2024;;Ass perte/vol;1.00 ;;;;;;
03/05/2024;;Essence;60.00 ;;;;;;
06/05/2024;;Restauration;1.50 ;;;;;;
09/05/2024;;Restauration;15.96 ;;;;;;
09/05/2024;;Restauration;1.40 ;;;;;;
10/05/2024;;vacance été;6.00 ;;;;;;
10/05/2024;;vacance été;4.40 ;;;;;;
10/05/2024;;Restauration;20.47 ;;;;;;
13/05/2024;;IZLY;10.00 ;;;;;;
16/05/2024;;Ass Globe Trotter;2.00 ;;;;;;
20/05/2024;;Restaurant;8.90 ;;;;;;
21/05/2024;;Restauration;10.12 ;;;;;;
23/05/2024;;Restauration;5.00 ;;;;;;
