Subject,Start Date,Start Time
LEC 2024 Winter - G2 vs BDS,2024-01-13,17:00
LEC 2024 Winter - SK vs RGE,2024-01-13,18:00
LEC 2024 Winter - FNC vs KC,2024-01-13,19:00
LEC 2024 Winter - GX vs VIT,2024-01-13,20:00
LEC 2024 Winter - MDK vs TH,2024-01-13,21:00
LEC 2024 Winter - GX vs BDS,2024-01-14,17:00
LEC 2024 Winter - MDK vs SK,2024-01-14,18:00
LEC 2024 Winter - G2 vs KC,2024-01-14,19:00
LEC 2024 Winter - FNC vs VIT,2024-01-14,20:00
LEC 2024 Winter - RGE vs TH,2024-01-14,21:00
LEC 2024 Winter - BDS vs VIT,2024-01-15,17:00
LEC 2024 Winter - G2 vs RGE,2024-01-15,18:00
LEC 2024 Winter - GX vs TH,2024-01-15,19:00
LEC 2024 Winter - KC vs MDK,2024-01-15,20:00
LEC 2024 Winter - FNC vs SK,2024-01-15,21:00
LEC 2024 Winter - VIT vs RGE,2024-01-20,17:00
LEC 2024 Winter - SK vs TH,2024-01-20,18:00
LEC 2024 Winter - MDK vs G2,2024-01-20,19:00
LEC 2024 Winter - FNC vs BDS,2024-01-20,20:00
LEC 2024 Winter - GX vs KC,2024-01-20,21:00
LEC 2024 Winter - MDK vs BDS,2024-01-21,17:00
LEC 2024 Winter - FNC vs RGE,2024-01-21,18:00
LEC 2024 Winter - TH vs G2,2024-01-21,19:00
LEC 2024 Winter - SK vs GX,2024-01-21,20:00
LEC 2024 Winter - VIT vs KC,2024-01-21,21:00
LEC 2024 Winter - SK vs BDS,2024-01-22,17:00
LEC 2024 Winter - FNC vs GX,2024-01-22,18:00
LEC 2024 Winter - MDK vs RGE,2024-01-22,19:00
LEC 2024 Winter - VIT vs G2,2024-01-22,20:00
LEC 2024 Winter - TH vs KC,2024-01-22,21:00
LEC 2024 Winter - TH vs BDS,2024-01-27,17:00
LEC 2024 Winter - VIT vs SK,2024-01-27,18:00
LEC 2024 Winter - FNC vs MDK,2024-01-27,19:00
LEC 2024 Winter - GX vs G2,2024-01-27,20:00
LEC 2024 Winter - KC vs RGE,2024-01-27,21:00
LEC 2024 Winter - VIT vs TH,2024-01-28,17:00
LEC 2024 Winter - BDS vs RGE,2024-01-28,18:00
LEC 2024 Winter - FNC vs G2,2024-01-28,19:00
LEC 2024 Winter - MDK vs GX,2024-01-28,20:00
LEC 2024 Winter - SK vs KC,2024-01-28,21:00
LEC 2024 Winter - GX vs RGE,2024-01-29,17:00
LEC 2024 Winter - BDS vs KC,2024-01-29,18:00
LEC 2024 Winter - FNC vs TH,2024-01-29,19:00
LEC 2024 Winter - SK vs G2,2024-01-29,20:00
LEC 2024 Winter - VIT vs MDK,2024-01-29,21:00
LEC 2024 Winter Playoffs - BDS vs TH,2024-02-03,17:00
LEC 2024 Winter Playoffs - G2 vs GX,2024-02-03,20:00
LEC 2024 Winter Playoffs - SK vs VIT,2024-02-04,17:00
LEC 2024 Winter Playoffs - MDK vs FNC,2024-02-04,20:00
LEC 2024 Winter Playoffs - TBD vs TBD,2024-02-05,17:00
LEC 2024 Winter Playoffs - TBD vs TBD,2024-02-05,20:00
LEC 2024 Winter Playoffs - TBD vs TBD,2024-02-10,17:00
