Subject,Start Date,Start Time
LFL 2024 Spring - BKR vs KCB,2024-01-17,18:00
LFL 2024 Spring - GO vs AEG,2024-01-17,19:00
LFL 2024 Spring - BDS.A vs VITB,2024-01-17,20:00
LFL 2024 Spring - SLY vs M8,2024-01-17,21:00
LFL 2024 Spring - TDS vs GW,2024-01-17,22:00
LFL 2024 Spring - TDS vs KCB,2024-01-18,18:00
LFL 2024 Spring - VITB vs GW,2024-01-18,19:00
LFL 2024 Spring - BKR vs GO,2024-01-18,20:00
LFL 2024 Spring - SLY vs AEG,2024-01-18,21:00
LFL 2024 Spring - M8 vs BDS.A,2024-01-18,22:00
LFL 2024 Spring - BKR vs TDS,2024-01-24,18:00
LFL 2024 Spring - M8 vs GW,2024-01-24,19:00
LFL 2024 Spring - KCB vs VITB,2024-01-24,20:00
LFL 2024 Spring - GO vs SLY,2024-01-24,21:00
LFL 2024 Spring - AEG vs BDS.A,2024-01-24,22:00
LFL 2024 Spring - GW vs BDS.A,2024-01-25,18:00
LFL 2024 Spring - M8 vs BKR,2024-01-25,19:00
LFL 2024 Spring - KCB vs SLY,2024-01-25,20:00
LFL 2024 Spring - TDS vs GO,2024-01-25,21:00
LFL 2024 Spring - VITB vs AEG,2024-01-25,22:00
LFL 2024 Spring - BKR vs VITB,2024-01-31,18:00
LFL 2024 Spring - TDS vs M8,2024-01-31,19:00
LFL 2024 Spring - KCB vs AEG,2024-01-31,20:00
LFL 2024 Spring - SLY vs BDS.A,2024-01-31,21:00
LFL 2024 Spring - GW vs GO,2024-01-31,22:00
LFL 2024 Spring - GW vs SLY,2024-02-01,18:00
LFL 2024 Spring - AEG vs TDS,2024-02-01,19:00
LFL 2024 Spring - KCB vs GO,2024-02-01,20:00
LFL 2024 Spring - M8 vs VITB,2024-02-01,21:00
LFL 2024 Spring - BDS.A vs BKR,2024-02-01,22:00
LFL 2024 Spring - GW vs BKR,2024-02-07,17:00
LFL 2024 Spring - GO vs VITB,2024-02-07,18:00
LFL 2024 Spring - AEG vs M8,2024-02-07,19:00
LFL 2024 Spring - KCB vs BDS.A,2024-02-07,20:00
LFL 2024 Spring - TDS vs SLY,2024-02-07,21:00
LFL 2024 Spring - BDS.A vs GO,2024-02-08,17:00
LFL 2024 Spring - AEG vs GW,2024-02-08,18:00
LFL 2024 Spring - BKR vs SLY,2024-02-08,19:00
LFL 2024 Spring - TDS vs VITB,2024-02-08,20:00
LFL 2024 Spring - M8 vs KCB,2024-02-08,21:00
LFL 2024 Spring - BKR vs KCB,2024-01-17,18:00
LFL 2024 Spring - GO vs AEG,2024-01-17,19:00
LFL 2024 Spring - BDS.A vs VITB,2024-01-17,20:00
LFL 2024 Spring - SLY vs M8,2024-01-17,21:00
LFL 2024 Spring - TDS vs GW,2024-01-17,22:00
LFL 2024 Spring - TDS vs KCB,2024-01-18,18:00
LFL 2024 Spring - VITB vs GW,2024-01-18,19:00
LFL 2024 Spring - BKR vs GO,2024-01-18,20:00
LFL 2024 Spring - SLY vs AEG,2024-01-18,21:00
LFL 2024 Spring - M8 vs BDS.A,2024-01-18,22:00
LFL 2024 Spring - BKR vs TDS,2024-01-24,18:00
LFL 2024 Spring - M8 vs GW,2024-01-24,19:00
LFL 2024 Spring - KCB vs VITB,2024-01-24,20:00
LFL 2024 Spring - GO vs SLY,2024-01-24,21:00
LFL 2024 Spring - AEG vs BDS.A,2024-01-24,22:00
LFL 2024 Spring - GW vs BDS.A,2024-01-25,18:00
LFL 2024 Spring - M8 vs BKR,2024-01-25,19:00
LFL 2024 Spring - KCB vs SLY,2024-01-25,20:00
LFL 2024 Spring - TDS vs GO,2024-01-25,21:00
LFL 2024 Spring - VITB vs AEG,2024-01-25,22:00
LFL 2024 Spring - BKR vs VITB,2024-01-31,18:00
LFL 2024 Spring - TDS vs M8,2024-01-31,19:00
LFL 2024 Spring - KCB vs AEG,2024-01-31,20:00
LFL 2024 Spring - SLY vs BDS.A,2024-01-31,21:00
LFL 2024 Spring - GW vs GO,2024-01-31,22:00
LFL 2024 Spring - GW vs SLY,2024-02-01,18:00
LFL 2024 Spring - AEG vs TDS,2024-02-01,19:00
LFL 2024 Spring - KCB vs GO,2024-02-01,20:00
LFL 2024 Spring - M8 vs VITB,2024-02-01,21:00
LFL 2024 Spring - BDS.A vs BKR,2024-02-01,22:00
LFL 2024 Spring - GW vs BKR,2024-02-07,17:00
LFL 2024 Spring - GO vs VITB,2024-02-07,18:00
LFL 2024 Spring - AEG vs M8,2024-02-07,19:00
LFL 2024 Spring - KCB vs BDS.A,2024-02-07,20:00
LFL 2024 Spring - TDS vs SLY,2024-02-07,21:00
LFL 2024 Spring - BDS.A vs GO,2024-02-08,17:00
LFL 2024 Spring - AEG vs GW,2024-02-08,18:00
LFL 2024 Spring - BKR vs SLY,2024-02-08,19:00
LFL 2024 Spring - TDS vs VITB,2024-02-08,20:00
LFL 2024 Spring - M8 vs KCB,2024-02-08,21:00
LFL 2024 Spring - AEG vs BKR,2024-02-14,18:00
LFL 2024 Spring - VITB vs SLY,2024-02-14,19:00
LFL 2024 Spring - KCB vs GW,2024-02-14,20:00
LFL 2024 Spring - GO vs M8,2024-02-14,21:00
LFL 2024 Spring - BDS.A vs TDS,2024-02-14,22:00
LFL 2024 Spring - TDS vs GW,2024-02-15,18:00
LFL 2024 Spring - VITB vs BDS.A,2024-02-15,19:00
LFL 2024 Spring - M8 vs SLY,2024-02-15,20:00
LFL 2024 Spring - KCB vs BKR,2024-02-15,21:00
LFL 2024 Spring - AEG vs GO,2024-02-15,22:00
LFL 2024 Spring - GW vs VITB,2024-02-21,18:00
LFL 2024 Spring - BDS.A vs M8,2024-02-21,19:00
LFL 2024 Spring - AEG vs SLY,2024-02-21,20:00
LFL 2024 Spring - GO vs BKR,2024-02-21,21:00
LFL 2024 Spring - KCB vs TDS,2024-02-21,22:00
LFL 2024 Spring - BDS.A vs AEG,2024-02-22,18:00
LFL 2024 Spring - VITB vs KCB,2024-02-22,19:00
LFL 2024 Spring - SLY vs GO,2024-02-22,20:00
LFL 2024 Spring - GW vs M8,2024-02-22,21:00
LFL 2024 Spring - TDS vs BKR,2024-02-22,22:00
LFL 2024 Spring - TDS vs GO,2024-02-28,18:00
LFL 2024 Spring - BDS.A vs GW,2024-02-28,19:00
LFL 2024 Spring - BKR vs M8,2024-02-28,20:00
LFL 2024 Spring - SLY vs KCB,2024-02-28,21:00
LFL 2024 Spring - AEG vs VITB,2024-02-28,22:00
LFL 2024 Spring - VITB vs BKR,2024-02-29,18:00
LFL 2024 Spring - GO vs GW,2024-02-29,19:00
LFL 2024 Spring - AEG vs KCB,2024-02-29,20:00
LFL 2024 Spring - SLY vs BDS.A,2024-02-29,21:00
LFL 2024 Spring - M8 vs TDS,2024-02-29,22:00
LFL 2024 Spring - BKR vs BDS.A,2024-03-06,18:00
LFL 2024 Spring - VITB vs M8,2024-03-06,19:00
LFL 2024 Spring - TDS vs AEG,2024-03-06,20:00
LFL 2024 Spring - GO vs KCB,2024-03-06,21:00
LFL 2024 Spring - SLY vs GW,2024-03-06,22:00
LFL 2024 Spring - BKR vs GW,2024-03-07,18:00
LFL 2024 Spring - VITB vs GO,2024-03-07,19:00
LFL 2024 Spring - SLY vs TDS,2024-03-07,20:00
LFL 2024 Spring - KCB vs BDS.A,2024-03-07,21:00
LFL 2024 Spring - AEG vs M8,2024-03-07,22:00
